iter	Logloss
0	0.6631827635
1	0.6340708349
2	0.6115736805
3	0.5884138548
4	0.5665392563
5	0.547878225
6	0.5301202504
7	0.5152803881
8	0.499444355
9	0.4850408405
10	0.471984527
11	0.4596957172
12	0.4501555501
13	0.4404002169
14	0.4317847104
15	0.4238843846
16	0.4167486145
17	0.4094776359
18	0.4027318712
19	0.3971485793
20	0.391317523
21	0.386605828
22	0.3810620521
23	0.3763445112
24	0.3725592562
25	0.3687908414
26	0.3646858676
27	0.3610689436
28	0.3577041634
29	0.3544456421
30	0.3520832397
31	0.3495893573
32	0.3470705369
33	0.3445891119
34	0.3424499419
35	0.3404108203
36	0.3380583901
37	0.3362309625
38	0.334446315
39	0.3325562009
40	0.3309649558
41	0.3293133296
42	0.3277818928
43	0.3267315115
44	0.3254648223
45	0.324437871
46	0.3234341167
47	0.3223464348
48	0.3210167779
49	0.3203093224
50	0.3193880108
51	0.31840358
52	0.3174959426
53	0.3166320824
54	0.3158261064
55	0.315150292
56	0.3142239252
57	0.3134110231
58	0.3126668363
59	0.3121126994
60	0.3112997873
61	0.310383471
62	0.309590976
63	0.3090017724
64	0.3082673065
65	0.3078383942
66	0.3075022014
67	0.3069775784
68	0.3064458744
69	0.3056405842
70	0.3053393268
71	0.3049213388
72	0.3043804799
73	0.3039650387
74	0.3035874939
75	0.3030975149
76	0.3027773766
77	0.3024196598
78	0.301940347
79	0.3015822507
80	0.301107344
81	0.3006701972
82	0.3002918752
83	0.2998684225
84	0.2991894622
85	0.2987404473
86	0.2984121362
87	0.2980351191
88	0.2977212278
89	0.2974114928
90	0.2969608101
91	0.2967426961
92	0.2963980875
93	0.2960349793
94	0.2956452152
95	0.295336166
96	0.2949383705
97	0.2944899566
98	0.2941912425
99	0.2939946809
100	0.2936308103
101	0.2934057186
102	0.2928921298
103	0.2924887248
104	0.2921799686
105	0.2918703669
106	0.2914381721
107	0.291083816
108	0.2908600326
109	0.2906882959
110	0.2904210066
111	0.2901203134
112	0.289917107
113	0.2895858397
114	0.2893281181
115	0.2889860895
116	0.2887055572
117	0.2885027303
118	0.2883128319
119	0.2878225815
120	0.2876011035
121	0.2871832304
122	0.2870113905
123	0.2868736519
124	0.2866600355
125	0.2862400468
126	0.2860036979
127	0.2857029181
128	0.2854148538
129	0.2852476812
130	0.2850850512
131	0.2846773334
132	0.2843924034
133	0.2842738253
134	0.2839618399
135	0.2836151722
136	0.2834830648
137	0.283347535
138	0.2832560722
139	0.2831241495
140	0.2829379463
141	0.2826762781
142	0.2823791787
143	0.2820021017
144	0.2816598883
145	0.2813486636
146	0.2812056684
147	0.2810468902
148	0.2809003911
149	0.280650696
150	0.2801641958
151	0.280039106
152	0.2797302066
153	0.2794721738
154	0.2792014888
155	0.278913571
156	0.2785346996
157	0.2783848731
158	0.2782236779
159	0.2779516963
160	0.2777592628
161	0.2776056778
162	0.2774287794
163	0.2772774433
164	0.2769270171
165	0.2766587091
166	0.2763836497
167	0.2761093661
168	0.2759518362
169	0.2755863942
170	0.2754235295
171	0.2753043738
172	0.2751930098
173	0.2748792334
174	0.2747534461
175	0.2744986508
176	0.2743246071
177	0.2740879319
178	0.2739872608
179	0.2738281197
180	0.2736084078
181	0.2733973032
182	0.2732155326
183	0.2731668666
184	0.2730716353
185	0.2729905059
186	0.2728436357
187	0.2726258979
188	0.2722998871
189	0.2722088271
190	0.2720939709
191	0.2717297474
192	0.2714944088
193	0.2712072433
194	0.2710772581
195	0.2709421146
196	0.270625803
197	0.2704968349
198	0.2704355334
199	0.2702165506
200	0.2701254273
201	0.2699091044
202	0.2696984741
203	0.2695772777
204	0.269510162
205	0.2693538089
206	0.2692333299
207	0.2691641685
208	0.2689994911
209	0.268846785
