iter	Passed	Remaining
0	124	26107
1	248	25857
2	374	25842
3	495	25517
4	618	25366
5	744	25311
6	880	25520
7	1006	25401
8	1132	25293
9	1253	25071
10	1390	25149
11	1545	25499
12	1698	25738
13	1855	25983
14	2008	26110
15	2139	25936
16	2266	25729
17	2391	25508
18	2518	25316
19	2650	25178
20	2781	25032
21	2912	24885
22	3043	24748
23	3173	24594
24	3296	24394
25	3422	24219
26	3555	24096
27	3685	23953
28	3816	23822
29	3945	23675
30	4074	23528
31	4208	23412
32	4344	23301
33	4466	23119
34	4609	23045
35	4756	22989
36	4907	22947
37	5048	22852
38	5189	22751
39	5352	22749
40	5516	22739
41	5708	22832
42	5902	22922
43	6077	22928
44	6230	22843
45	6373	22724
46	6529	22644
47	6729	22712
48	6931	22774
49	7101	22724
50	7245	22589
51	7394	22468
52	7557	22387
53	7710	22275
54	7861	22154
55	8010	22030
56	8184	21968
57	8327	21823
58	8463	21661
59	8597	21493
60	8722	21304
61	8857	21144
62	8990	20977
63	9124	20814
64	9256	20648
65	9388	20484
66	9525	20329
67	9652	20157
68	9781	19988
69	9911	19823
70	10057	19689
71	10193	19537
72	10325	19378
73	10463	19230
74	10594	19070
75	10723	18907
76	10855	18750
77	10982	18585
78	11107	18419
79	11233	18254
80	11370	18107
81	11519	17981
82	11654	17832
83	11784	17677
84	11917	17526
85	12046	17368
86	12181	17221
87	12329	17093
88	12465	16947
89	12596	16795
90	12735	16653
91	12875	16513
92	13011	16369
93	13146	16223
94	13276	16071
95	13409	15923
96	13553	15789
97	13690	15645
98	13822	15497
99	13969	15366
100	14126	15245
101	14275	15115
102	14431	14992
103	14577	14857
104	14725	14725
105	14879	14599
106	15037	14475
107	15174	14331
108	15325	14200
109	15468	14062
110	15597	13911
111	15734	13767
112	15860	13614
113	15991	13466
114	16123	13319
115	16259	13175
116	16388	13027
117	16516	12877
118	16649	12731
119	16785	12588
120	16915	12442
121	17047	12296
122	17178	12150
123	17308	12004
124	17446	11863
125	17577	11718
126	17713	11576
127	17844	11431
128	17984	11292
129	18114	11147
130	18249	11005
131	18392	10868
132	18540	10733
133	18678	10593
134	18811	10450
135	18951	10311
136	19079	10166
137	19212	10023
138	19339	9878
139	19466	9733
140	19594	9588
141	19729	9448
142	19861	9305
143	19995	9164
144	20131	9024
145	20263	8882
146	20389	8738
147	20512	8593
148	20639	8449
149	20773	8309
150	20910	8170
151	21044	8030
152	21186	7893
153	21325	7754
154	21457	7614
155	21583	7471
156	21709	7328
157	21832	7185
158	21958	7043
159	22087	6902
160	22216	6761
161	22334	6617
162	22472	6479
163	22608	6341
164	22758	6206
165	22900	6070
166	23051	5935
167	23182	5795
168	23329	5659
169	23470	5522
170	23603	5383
171	23746	5246
172	23882	5107
173	24022	4970
174	24155	4831
175	24293	4692
176	24425	4553
177	24553	4414
178	24677	4273
179	24800	4133
180	24926	3993
181	25053	3854
182	25178	3714
183	25296	3574
184	25418	3434
185	25539	3295
186	25661	3156
187	25785	3017
188	25911	2879
189	26031	2740
190	26158	2602
191	26287	2464
192	26414	2326
193	26539	2188
194	26662	2050
195	26786	1913
196	26914	1776
197	27036	1638
198	27156	1501
199	27280	1364
200	27407	1227
201	27535	1090
202	27656	953
203	27780	817
204	27899	680
205	28025	544
206	28152	408
207	28274	271
208	28398	135
209	28524	0
